Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount,Stage,Sector
Jade Forest,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",Undisclosed,2020,250000.0,Seed Round,Agriculture and Food
FrontRow,Bengaluru,"Comprehensive courses, taught by idols.","Lightspeed, Elevation, Deepika Padukone",2020,3200000.0,Seed Round,Education
Ather Energy,Bengaluru,Ather Energy is a manufacturer of electric scooters.,HeroMotoCorp Ltd and Sachin Bansal,2020,35000000.0,Series D,Transportation and Mobility
Eggoz,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.","AVANA Capital, Rebright Partners",2020,1500000.0,Pre-Series A,Agriculture and Food
CHARGE+ZONE,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",Mumbai Angels,2020,3000000.0,Pre-Series A,Transportation and Mobility
Stones2milestones,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,"Menterra Venture Advisors, Emandi Sankara Rao",2020,2000000.0,Bridge,Education
AjnaLens,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.","Mohsin Hani Al Bahrani, MoD",2020,1000000.0,Bridge,Technology
Gully Network,Bengaluru,Gully Network is a tech-enabled network of mid-sized grocery stores.,"CP Ventures, Orios Venture Partners",2020,1200000.0,Pre-Series A,E-Commerce and Retail
TurboHire,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,"Kia Ora Ventures, Pentathlon Ventures",2020,1000000.0,Seed Round,Technology
Traya,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,"Kae Capital, Whiteboard Capital",2020,0.0,Seed Round,Healthcare and Wellness
Freshokartz,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Rajasthan Venture Capital Fund, Innovana Thinklabs",2020,1000000.0,Pre-Series A,Agriculture and Food
FlexiLoans,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",>Vikram Sud,2020,6000000.0,Debt Financing,Finance and FinTech
BharatAgri,Pune,A Smart Farming Technology Platform for Indian Farmers,"021 Capital, India Quotient",2020,0.0,Pre-Series A,Agriculture and Food
FreshtoHome,Bengaluru,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,"Ascent Capital, Iron Pillar",2020,121000000.0,Series C,E-Commerce and Retail
Railofy,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,"Roots Ventures, Better Capital",2020,5000000.0,Seed Round,Transportation and Mobility
Teachmint,Bengaluru,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,Lightspeed India,2020,3500000.0,Seed Round,Education
Janani,Bengaluru,Janani aims to make the process of infertility treatment and assisted fertilisation easier,9Unicorns,2020,200000.0,Pre-Seed,Technology
Credgenics,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Accel, Sunder Nookala",2020,3300000.0,Seed Round,Finance and FinTech
Wellversed,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,"KLUB Works, Shankar Narayanan",2020,0.0,Pre-Series A,Healthcare and Wellness
Jumbotail,Bengaluru,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",Nexus Venture Partners and 23 High Networth Individuals (HNIs),2020,11000000.0,Series B,E-Commerce and Retail
mCaffeine,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","RPSG Ventures, Amicus Capital",2020,5000000.0,Series B,Cosmetics
Pocket FM,Bengaluru,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,"Times Group, Lightspeed",2020,5000000.0,Series A,FM
Snackible,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,"Mumbai Angels, Murali Nair",2020,0.0,Bridge,Healthcare and Wellness
Jumbotail,Bengaluru,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,"Nexus Venture Partners, Capria Ventures",2020,11000000.0,Series B,E-Commerce and Retail
Origo,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,Northern Arc Capital,2020,4000000.0,Debt Financing,Agriculture and Food
GetVantage,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,"Samyakth Capital, Venture Catalysts",2020,5000000.0,Seed Round,Finance and FinTech
Betterplace,Bengaluru,Developer of a digital verification platform designed to manage the semi-formal workforce.,Jungle Ventures,2020,10000000.0,Series B,Technology
Biddano,Mumbai,India's 1st tech-enabled healthcare logistics platform.,Windrose Capital,2020,600000.0,Pre-Series A,Healthcare and Wellness
InVideo,Mumbai,InVideo enables you to transform your content into great videos.,"Base Partners, Sequoia Capital India",2020,15000000.0,Series A,Media and Entertainment
Arzooo,Bengaluru,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales","3Lines, Jabbar Internet Group",2020,7500000.0,Series A,E-Commerce and Retail
BASIC Home Loan,Gurugram,"A platform for automating home loans for middle and low-income households in India,",Picus Capital,2020,5000000.0,Seed Round,Finance and FinTech
SUGAR cosmetics,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,"A91 Partners, RB Investments Pte. Ltd",2020,2000000.0,Debt Financing,Cosmetics
Ahaguru,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",Anand Mahindra,2020,0.0,Series A,Education
EzeRx,Kolkata,Developer and manufacturer of medical devices,"Indian Oil Corporation, Krishna Chakravarty",2020,200000.0,Seed Round,Healthcare and Wellness
Ultraviolette Automotive,Bengaluru,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,TVS Motor Company,2020,4000000.0,Series B,Transportation and Mobility
Rare Planet,Kolkata,Rare Planet sells handicrafts made by local artisans.,Venture Catalysts,2020,400000.0,Pre-Series A,E-Commerce and Retail
GoodGamer,Bengaluru,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,Undisclosed,2020,2500000.0,Seed Round,Media and Entertainment
InnAccel,Bengaluru,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Mount Judi Ventures,2020,1500000.0,Pre-Series A,Healthcare and Wellness
HobSpace,Mumbai,India's Activity Hub for Kids,Artha Venture,2020,200000.0,Seed Round,Education
Supplynote,Noida,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,"MOX, SOSV",2020,500000.0,Seed Round,Technology
Hire Me Car,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,Undisclosed,2020,0.0,Seed Round,Transportation and Mobility
Dukaan,Mumbai,Developer of an android application designed for businesses to sell online.,"Lightspeed, Matrix Partners.",2020,6000000.0,Seed Round,Technology
Satyukt,Bengaluru,An agritech company that provides business to business (B2B) agricultural data,"NABVENTURES, Social Alpha (India)",2020,500000.0,Seed Round,Technology
TREAD,Bengaluru,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,"Better Capital, Kunal Shah, Gaurav Munjal",2020,1100000.0,Pre-Seed,Healthcare and Wellness
Anveshan,Bengaluru,Provide quality and healthy food products,Titan Capital,2020,100000.0,Pre-Seed,Agriculture and Food
TeaMonk,Bengaluru,India's Finest Specialty Tea company.,"Lead Angels Network, Roots Ventures",2020,900000.0,Pre-Series A,Agriculture and Food
Fleetx,Gurugram,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.","Rohit Bansal, Rohan Ranavat",2020,3000000.0,Pre-Series A,Technology
ReNEWate,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Real Estate Accelerator Program,2020,0.0,Pre-Seed,Real Estate and Construction
Tango Eye,Chennai,Retail Video Analytics SaaS product,"Riso Investments, Lenskart",2020,0.0,Seed Round,Technology
Rare Planet,Kolkata,Rare Planet sells handicrafts made by local artisans.,Venture Catalysts,2020,0.0,Pre-Series A,Reatil startup
Avataa Me,Bengaluru,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,Sequoia Capital India,2020,7000000.0,Series A,Technology
MikeLegal,Gurugram,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,"SOSV, Artesian",2020,0.0,Seed Round,Professional Services
Miko,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Stride Ventures, YourNest Venture Capital",2020,3000000.0,Pre-Series A,Technology
Razorpay,Bengaluru,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Tiger Global Management, Sequoia Capital India",2020,100000000.0,Series D,Finance and FinTech
Wow! Momo,Kolkata,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,"Tiger Global Management, William Bissell",2020,5000000.0,Debt Financing,Agriculture and Food
Pepper Content,Mumbai,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Alok Mittal, Manan Maheshwari",2020,4200000.0,Series A,E-Commerce and Retail
LIVSPACE,Bengaluru,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.","Mercer Investments, Bessemer Venture Partners",2020,4000000.0,Debt Financing,Real Estate and Construction
Acculi Labs,Bengaluru,Acculi Labs is a clinical grade smartphone based diagnostic tool,Startup Basket.,2020,600000.0,Seed Round,Healthcare and Wellness
Unnati,Noida,A helping hand to the farming community through Artificial Intelligence,NABVENTURES,2020,1700000.0,Pre-Series A,Agriculture and Food
Disprz,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","Xseed Partners, InnoVen Capital",2020,1600000.0,Pre-Series A,Education
Uni,Mumbai,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,"Lightspeed India Partners, Accel India",2020,18500000.0,Seed Round,Finance and FinTech
Credit Wise Capital,Mumbai,CreditWise Capital is a consumer finance company.,Venture Catalysts,2020,6000000.0,Seed Round,Finance and FinTech
Livve,Cochin,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Undisclosed,2020,1500000.0,Seed Round,Real Estate and Construction
Ergos,Samastipur,Ergos is building an integrated supply chain by setting up micro warehouses.,"Aavishkaar Venture Capital, Chiratae Ventures",2020,5000000.0,Series A,Agriculture and Food
Krishitantra,Hyderabad,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,"NABVENTURES, Omnivore",2020,1000000.0,Seed Round,Agriculture and Food
PakkaProfile,Bengaluru,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",Java Capital,2020,0.0,Seed Round,Technology
Unocoin,Tumkur,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.","Digital Finance Group, FundersClub",2020,0.0,Series A,Finance and FinTech
NirogStreet,Gurugram,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,"Wavemaker Partners, Subho Ray",2020,2000000.0,Pre-Series A,Technology
Bambrew,Bengaluru,Bambrew is an online shop for reusable bamboo straws.,Upsparks,2020,0.0,Pre-Seed,Industrial and Manufacturing
Fanball XI,New Delhi,The gaming company mostly focused on fantasy football games,Foxhog Ventures,2020,1000000.0,Seed Round,Media and Entertainment
GPS Renewables,Bengaluru,To solve the urban waste problem by utilising local technologies and business models.,"Triodos, Caspian",2020,3000000.0,Series A,Energy and Environment
Legal Salah,Kolkata,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,I2I Capitals,2020,1000000.0,Seed Round,Professional Services
FanPlay,New Delhi,FanPlay Technologies operates as a real-money gaming startup.,"Core91 Fund, Anupam Mittal",2020,0.0,Seed Round,Media and Entertainment
Hire Me Car,Noida,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,US based NRI Investors,2020,0.0,Seed Round,Technology
Oga Fit,Bengaluru,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,"Inflection Point Ventures, Mitesh Shah",2020,0.0,Pre-Series A,Healthcare and Wellness
ShipsKart,New Delhi,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",Betatron,2020,200000.0,Pre-Series A,E-Commerce and Retail
Financepeer,Mumbai,Financepeer is an AI based peer to peer lending platform.,"Ravi Sanghvi, PitchRight Venture",2020,3000000.0,Pre-Series A,Education
Cashify,Gurugram,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Bessemer Venture Partners, CDH Investments",2020,10000000.0,Debt Financing,E-Commerce and Retail
Etrio,Hyderabad,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",HNIs,2020,3000000.0,Series A,Transportation and Mobility
Codeyoung,Bengaluru,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,Guild Capital,2020,0.0,Seed Round,Education
StayQrious,Bengaluru,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.",Y Combinator,2020,2000000.0,Seed Round,Education
Sunstone Eduversity,Gurugram,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,Prime Venture Partners,2020,3000000.0,Series A,Education
Infilect,Bengaluru,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,"Mela Ventures, 1Crowd",2020,1500000.0,Pre-Series A,Technology
MobiGarage,New Delhi,An ecommerce platform for refurbished electronics.,Undisclosed,2020,0.0,Pre-Series A,E-Commerce and Retail
Samunnati,Chennai,Samunnati is a financial service provider focused on agri value chains.,"responsAbility, Accel",2020,20000000.0,Debt Financing,Agriculture and Food
WeInnovate Biosolutions,Pune,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,Chiratae ventures,2020,0.0,Seed Round,Startup laboratory
Smallcase,Bengaluru,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,"Sequoia Capital India, Blume Ventures",2020,13400000.0,Series B,Finance and FinTech
Assiduus,Bengaluru,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",VC Firm K Partners,2020,1000000.0,Series A,E-Commerce and Retail
AFK Gaming,Mumbai,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,Undisclosed,2020,200000.0,Pre-Series A,Media and Entertainment
mCaffeine,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","RPSG Ventures, Amicus Capital",2020,2900000.0,Series B,Healthcare and Wellness
Origa,Andheri,The charioteer of your growth at all times.,"500 Startups, ah! Ventures",2020,2000000.0,Debt Financing,Finance and FinTech
GullyBuy Software,Pune,To deliver a solution that will provide shopping convenience to every consumer in India,Undisclosed,2020,543000.0,Pre-Series A,Technology
Recordent,Hyderabad,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,Undisclosed,2020,0.0,Seed Round,Finance and FinTech
MPL,Bengaluru,Mobile Premier League is the mobile e-Sports platform based in India.,"Base Partners, GO Ventures",2020,90000000.0,Series C,Media and Entertainment
Onsitego,Mumbai,Onsitego is a customer service company for device and appliance repairs.,"Accel, Zodius Capital",2020,30000000.0,Series B,Professional Services
ClanConnect,Delhi,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented",Undisclosed,2020,600000.0,Seed Round,Marketing and Advertising
Servify,Mumbai,Servify is a self-learning platform that provides device management services and warranty solutions.,"Blume Ventures, Tetrao",2020,23000000.0,Series C,Professional Services
ShareChat,Bengaluru,ShareChat is a social networking and regional content platform.,"Lightspeed venture partners, saif partners",2020,40000000.0,Pre-Series A,Media and Entertainment
Rephrase.ai,Bengaluru,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,"Techstars Bangalore Accelerator, Techstars",2020,1500000.0,Seed Round,Technology
Melorra,Bengaluru,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace","Shadows Holdings, Lightbox",2020,8090000.0,Debt Financing,Consumer Goods
FabHotels,Gurugram,FabHotels is a network of 3 star budget hotels in India,"RB Investments Pte. Ltd, Goldman Sachs",2020,1030000.0,Series B,Technology
EkAnek,New Delhi,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,"Lightspeed India Partners, Sequoia Capital India",2020,5040000.0,Edge,Technology
Cub McPaws,Mumbai,Cub McPaws is a kids clothing brand.,Venture Catalysts,2020,800000.0,Pre-Series A,AR startup
Zimyo,Gurgaon,Employee experience platform that empowers organizations to manage and retain great talent!,"Abhishant Pant, Chiranth Patil",2020,1500000.0,Seed Round,Technology
PumPumPum,Gurgaon,Pumpumpum is a car rental company,Undisclosed,2020,360000.0,Debt Financing,Transportation and Mobility
Burgerama,Gurgaon,Burgerama is a unit of Junket Foods Private Limited,"Madison, Anicut",2020,0.0,Pre-Series A,Agriculture and Food
Moms Co,Gurgaon,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,"DSG Consumer Partners, Saama Capital",2020,8000000.0,Series B,Healthcare and Wellness
FPL Technologies,Pune,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,"Matrix Partners India, Hummingbird Ventures",2020,10000000.0,Series A,Finance and FinTech
FITTR,Pune,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,Surge,2020,2000000.0,Pre-Series A,Healthcare and Wellness
Illumnus,Pune,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",23 High Networth Individuals (HNIs).,2020,100000.0,Seed Round,Education
CashKaro,Gurgaon,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,"Ratan Tata, Kalaari Capital",2020,10000000.0,Series B,E-Commerce and Retail
Newton School,Bengaluru,Newton School is a platform to learn and develop skills,Nexus Venture Partners,2020,650000.0,Seed Round,Education
Airmeet,Bengaluru,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge","Global Founders Capital, Redpoint",2020,12000000.0,Series A,Technology
InCred,Mumbai,"Provide loans for all your needs like personal loan for wedding, education loan, business loan","Pushpak Credit, Fiscal",2020,5000000.0,Debt Financing,Finance and FinTech
Toppr,Mumbai,Toppr is an Indian educational technology and online tutoring firm,"Kaizenvest, Foundation Holdings",2020,35000000.0,Series D,Education
CarTrade,Mumbai,Buy and Sell Used Cars,"Pincus, JP Morgan, Temasek, March Capital",2020,42500000.0,Series H,Transportation and Mobility
LEAD School,Mumbai,Offers a high-end digital classroom system focused on enhancing the learning experience,"Westbridge Capital, Elevar Equity",2020,28000000.0,Series C,Technology
Servify,Mumbai,"Enables top OEMs & ODMs in device distribution, sales, warranty","Blume Ventures, Tetrao",2020,11370000.0,Series C,Industrial and Manufacturing
Lido Learning,Mumbai,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?","BAce Capital, Madhur Deora",2020,7500000.0,Series B,Education
Apna.co,Bengaluru,Can find all types of jobs from entry level to experienced people in over 60+ categories.,"Lightspeed India, Sequoia Capital India",2020,8000000.0,Series A,Internet
Quintype Technologies,Bengaluru,"Building a suite of digital publishing solutions to simplify content creation, distribution","IIFL Asset Management, Raghav Bahl",2020,325000.0,Series A,Technology
Dunzo,Bengaluru,Order online and get free delivery from your nearby restaurants,"Wes Schwalje, Alteria Capital",2020,28000000.0,Series E,Technology
Entropik,Bengaluru,Gain insights into human emotions with AI-powered platform affect lab.,"IDFC-Parampara Fund, Bharat Innovation Fund",2020,8000000.0,Series A,Technology
Livspace,Bengaluru,Interior design marketplace that connects interior designers,"Mercer Investments, Nicholas Cator",2020,9000000.0,Series D,Real Estate and Construction
Ultraviolette Automotive,Bengaluru,Industries Automotive Electric Vehicle Energy Energy Storage,TVS Motor Company,2020,410000.0,Series B,Industrial and Manufacturing
WinZO,New Delhi,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,"Makers Fund, Courtside Ventures",2020,18000000.0,Series B,Media and Entertainment
SenseHawk,Bengaluru,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,"Falcon Edge Capital, SAIF Partners",2020,5000000.0,Series A,Energy and Environment
Railofy,Mumbai,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,Chiratae Ventures.,2020,900000.0,Seed Round,Healthcare and Wellness
Eloelo,Bengaluru,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.",Undisclosed,2020,450000.0,Seed Round,E-Commerce and Retail
Aibono,Bengaluru,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,"Menterra Venture Advisors, Rianta Capital",2020,2000000.0,Pre-Series A,Agriculture and Food
BuildPan,Indore,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.","Sunil Kumar Singhvi, Yusho Kawata",2020,500000.0,Seed Round,Technology
Homelane,Bengaluru,Explore 1000's of fully customizable home interior designs.,"Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures",2020,8000000.0,Bridge,Real Estate and Construction
MyGlamm,Mumbai,Buy Makeup kit & Cosmetics Products from international makeup brand,Bessemer Venture Partners,2020,1000000.0,Series B,Consumer Goods
Aviom,New Delhi,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,"Insitor Partners, C4D Partners",2020,682000.0,Debt Financing,Finance and FinTech
Flinto,Chennai,Flintobox is an India-based company that produces educational activity boxes for children,"Sinai Ventures, Y Combinator",2020,7000000.0,Pre-Series A,Education
WayCool,Chennai,WayCool is a social enterprise positively impacting the lives of India's farmers,"FMO, IndusInd Bank",2020,5060000.0,Series C,Agriculture and Food
YAP,Chennai,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,"Jitendra Gupta, Better Capital",2020,4050000.0,Series A,Technology
Big Bang Boom Solutions,Chennai,It aims to co-create intellectual property that can reside within the borders of the country.,"Mumbai Angels, Defence Innovation Organisation",2020,1050000.0,Series A,Technology
GUVI,Chennai,Operates vernacular-language based education tech startup,"CBA Capital, Gray Matters Capital",2020,800000.0,Series A,Education
BluSmart,Gurugram,"BluSmart, an all-electric ride-hailing platform","Kalpavriksh, JITO Angel Network",2020,7000000.0,Pre-Series A,Technology
Cell Propulsion,Bengaluru,Designs and develops electric power drives and autonomous electric mobility solutions,"growX ventures, Sangam Ventures",2020,0.0,Pre-Series A,Transportation and Mobility
MPL,Bengaluru,Mobile Premier League (also known as MPL) is the mobile e-Sports platform,"Sequoia Capital India, Times Internet",2020,50000000.0,Series B,Media and Entertainment
Spoonshot,Bengaluru,A food science company using AI to predict consumer taste and food trends,"SRI Capital, Techstars Farm to Fork Accelerator",2020,1000000.0,Seed Round,FMCG
Pulse,Mumbai,Helps people navigate through and profit off financial markets,Undisclosed,2020,750000.0,Pre-Series A,Finance and FinTech
Groww,Bengaluru,Leading Investment and Trading Platform,"Y Combinator, Ribbit Capital",2020,30000000.0,Series C,Finance and FinTech
i3 Systems,Mumbai,Transforming India's health insurance industry with its digital solutions and AI products for automation,"Hatanaka Yosuke, Minomiya Takeo",2020,1050000.0,Pre-Series A,Finance and FinTech
SOAL,Mumbai,"A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders","Krishnan Menon, Srinivas Kollipara",2020,1000000.0,Series A,Education
OckyPocky,Gurugram,Ockypocky helps kids in learning spoken english,"SucSEED Venture Partners, ah! Ventures",2020,400000.0,Seed Round,Education
Gamezop,Gurugram,A multi-game platform,"Powerhouse ventures, Tracxn,",2020,4300000.0,Series A,Media and Entertainment
Phool.co,Kanpur,They use flowers from temples across India's and create useful products such as rose incense cone,Kaplan Foundation,2020,1400000.0,Pre-Series A,Agriculture and Food
Chiratae Ventures,Bengaluru,A leading tech venture capital fund focused on enabling entrepreneurs in India.,Undisclosed,2020,0.0,Seed Round,Finance and FinTech
IDfy,Mumbai,IDfy provides risk and fraud solutions,"Millenna FVCI III, NB Ventures, Dream Incubator",2020,2110000.0,Series A,Technology
True Balance,Gurugram,Earn money by meeting financial needs of your friends and neighbors.,Balancehero,2020,0.0,Series C,Finance and FinTech
MechMocha,Bengaluru,India's first vernacular social gaming platform,"Accel India, Blume Ventures, 3F Ventures, Akatsuki Inc",2020,292000.0,Series A,Media and Entertainment
Tracxn,Bengaluru,Tracxn is the research partner for Venture Capitalist,"Saif partners, Accel partners, Sequoia capital",2020,887000.0,Series B,Finance and FinTech
Fanspole,Thane,India's only social fantasy gaming platform,"Mohan Verma, Better Capital",2020,0.0,Pre-Seed,Media and Entertainment
Brick&Bolt,Bengaluru,"A construction company doing house construction, building construction, commercial construction","Meghna Agarwal, Navin Dhanuka",2020,2200000.0,Series A,Real Estate and Construction
Bikayi,Hyderabad,Provides free whatsapp integrated E-Commerce Store,Mantis ventures,2020,2000000.0,Seed Round,E-Commerce and Retail
TrulyMadly Matchmakers,Gurugram,One of the best dating Apps in India connecting singles across the country.,"AngelList, Inflection Point Ventures, The Chennai Angels",2020,110000.0,Pre-Series A,Media and Entertainment
TrueFan,Mumbai,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,"Mayfield India, Saama Capital, Ronnie Screwvala",2020,4300000.0,Seed Round,Media and Entertainment
Fanspole,Mumbai,A free app that users can use to create contests and play,Better Capital,2020,0.0,Pre-Seed,Media and Entertainment
Avail Finance,Bengaluru,Instant online loan app,"Alphawave, Matrix Partners",2020,11635000.0,Series B,Finance and FinTech
Virohan,Gurgaon,Healthcare training company,"Keiretsu Forum, Elea Foundation",2020,2800000.0,Seed Round,Healthcare and Wellness
OneCode,Gurugram,Connects new-age digital first brands with relevant sellers,WaterBridge Ventures,2020,0.0,Seed Round,E-Commerce and Retail
LEAD School,Mumbai,Offers an integrated system for schools by helping them digitize the entire curriculum,"WestBridge Capital, Elevar Equity",2020,28000000.0,Series C,Education
Trell,Bengaluru,Allows users to share their travel experiences,"KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",2020,11000000.0,Series A,E-Commerce and Retail
Captain Fresh,Bengaluru,Sea food Supply chain,Ankur Capital,2020,2300000.0,Pre-Series A,Agriculture and Food
Pixxel,Bengaluru,Indian Earth observation startup,"Lightspeed India Partners, Blume Ventures, GrowX ventures",2020,5000000.0,Seed Round,Technology
Habbit Health,Delhi,Applies modern science for healthier life through proprietary foods & digital ecosystem,"3one4 Capital, Angel list India",2020,0.0,Pre-Seed,Agriculture and Food
SmarterBiz,Bengaluru,An end-to-end CX platform enabled with the gig workforce,"StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",2020,1065000.0,Pre-Series A,Technology
Stack Finance,Bengaluru,"It automates invesments, expenses, borrowing under a single platform","SOSV, MOX (Mobile Only Accelerator)",2020,0.0,Seed Round,Finance and FinTech
FPL Technologies,Pune,OneScore app is built by FPL - Free credit scoring and monitoring,"Matrix Partners India, Sequoia Capital India, Hummingbird Ventures",2020,10000000.0,Series A,Finance and FinTech
Masai School,Bengaluru,It trains tech aspirants in full stack wed and android development,"Unitus Ventures, India Quotient, AngelList India",2020,2500000.0,Series A,Education
Mitron,Bengaluru,Short Video and Social Platform,Nexus Venture Partners,2020,5000000.0,Series A,Media and Entertainment
LendingKart,Ahmedabad,Provides working capital loans and business loans to MSMEs,"Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",2020,16076000.0,Series D,Finance and FinTech
Text Mercato,Bengaluru,Cataloguing startup that serves ecommerce platforms,1Crowd,2020,649600.0,Series A,E-Commerce and Retail
GrayQuest,Mumbai,Enables parents to pay their annual education fees in up to 12 monthly installments,Foundation Holdings,2020,1000000.0,Pre-Series A,Education
BigHaat,Bengaluru,Agri-inputs ecommerce player,"Ankur Capital, Beyond Next Ventures",2020,2000000.0,Pre-Series A,Agriculture and Food
