Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount($),Stage,Sector
Pristyn Care,Gurugram,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,"Kunal Shah, Deepinder Goyal, Abhiraj Singh Bhal",2021,96000000.0,Series E,Healthcare and Wellness
Plix,Mumbai,Plant-based nutraceutical firm,"Guild Capital, RPSG Capital Ventures",2021,5000000.0,Series A,Healthcare and Wellness
Uni Cards,Bengaluru,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.","General Catalyst, Eight Roads Ventures, Elevation Capital",2021,70000000.0,Series A,Financial Services
Practically,Hyderabad,An experiential learning app for grades 6th to 12th.,"NB Ventures, Earlsfield Capital",2021,5000000.0,Undisclosed,Education
Nestasia,Kolkata,"Artisanal, Handmade, bio conscious crafts from South East Asia.","Varun Alagh, Sahil Barua",2021,4000000.0,Series A,E-Commerce and Retail
Vedic Cosmeceuticals,Noida,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,Sixth Sense Ventures,2021,32000000.0,Series A,Cosmetics
Juspay,Bengaluru,Enable frictionless payments for the billion Indians.,SoftBank Vision Fund 2,2021,60000000.0,Series C,Finance and FinTech
TranZact,Mumbai,A mission to digitize millions of Indian SMEs so they can grow better.,"Tribe Capital, Prime Venture Partners",2021,7000000.0,Series A,Technology
Atomberg,Mumbai,Atomberg has built the ‘Brushless DC Motor’ (BLDC) technology for ceiling fans in India and has continuously innovated and improved on the technology.,Jungle Ventures,2021,20000000.0,Undisclosed,E-Commerce and Retail
Ola,Bengaluru,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK",Marquee international institutional investors,2021,500000000.0,Undisclosed,Transportation and Mobility
Mohalla Tech,Bengaluru,"Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru, India.",Alkeon Capital,2021,266000000.0,Series G,Media and Entertainment
Stack,Bengaluru,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,"Y Combinator, Harvard Management",2021,4500000.0,Seed Round,Financial Services
PropReturns,Mumbai,PropReturns is a platform for users to invest in Indian Real Estate backed by data.,"Y Combinator﻿, ﻿Goodwater Capital",2021,1200000.0,Undisclosed,Real Estate and Construction
WeSkill,Gurugram,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,"Shrishti Sahu, Umang Vohra",2021,4000000.0,Pre-Seed,Education
Fitpage,Mumbai,"An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.","Astra Ventures, Gaurav Jaitly",2021,300000.0,Undisclosed,Healthcare and Wellness
ShopMyLooks,Noida,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,"Capital A, Collective Artists Network",2021,200000.0,Undisclosed,Technology
ByteLearn,Noida,AI powered teaching assistant for 100 Mn teachers across the world,"Aditya Singhal, Nishant Sinha",2021,9500000.0,Seed Round,Education
Dista,Pune,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,Pentathlon Ventures,2021,1200000.0,Seed Round,Technology
OfBusiness,Gurugram,"OfBusiness is a new age commerce and fintech start up, and is technologically driven to provide smart procurement and smart financing to SMEs.","Alpha Wave Ventures II, Tiger Global Management, SoftBank Vision Fund II",2021,325000000.0,Undisclosed,Financial Services
Bizongo,Mumbai,izongo is India’s largest B2B platform for made-to-order products.,Tiger Global,2021,100000000.0,Series D,E-Commerce and Retail
FRND,Bengaluru,FRND is an audio dating app for Bharat,KRAFTON,2021,6500000.0,Series A,Media and Entertainment
